789769	87	72	77	76	74
782096	81	88	70	76	71
957415	79	71	74	76	78
906929	96	71	96	84	80
663063	85	86	82	81	80
817805	81	83	83	84	80
943227	88	81	72	87	88
299627	99	93	95	91	92
185636	79	84	76	75	80
572254	77	88	97	76	65
110470	89	98	64	62	69
704088	99	90	93	99	97
581924	82	91	95	87	95
830277	70	77	77	62	69
198198	62	69	68	57	89
237948	88	80	94	83	85
778957	93	88	92	80	81
464763	80	92	97	85	81
168082	87	95	80	97	92
335887	75	79	83	72	82
847988	77	78	74	78	71
831846	75	80	86	80	82
993564	82	65	84	89	78
505794	60	67	59	67	68
773511	70	76	79	72	78
